st,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PR,8081835.364576491,8024215.165366507,7148855.02384851,6429087.824354035,4866653.003017318,4671935.046047729,5147624.687679437,4533452.642114649,4053276.897445405,3803258.107137823,3307902.147982118,2403170.7473781314,2851785.627385526,1966490.507913885,4441571.006786739,5534806.969088318
RI,632254.1932013,502238.6086338,425698.8936176,327518.4003659,249394.1564628,239663.335987,193602.1753618,201649.2645514,137130.3297613,109218.709685,142835.512541,168391.00867,309747.0367,169761.0044825,191519.3592025,144236.2319825
SC,62543827.225428544,69516180.21539056,65419326.577903286,63422373.17905535,58352521.20024539,56691006.189335056,44508465.94455904,45289214.8568237,42179491.04581936,36295356.939945914,36442453.43008287,34547483.65446572,31121867.74174965,27652312.17982171,26677396.94086684,27053272.46169
SD,10369052.966535436,8631846.652275035,7783713.527347151,6759940.590265895,7435050.763355274,7050040.393472183,5481636.205562832,4208534.617744749,5712264.01760387,4904414.473188287,6419031.490044438,5937471.76717196,6358452.816576204,6173386.938980136,6076691.019805687,7354393.950175778
TN,135560988.54477805,150706220.5181244,127639404.5895412,117051262.52122174,108482976.54139465,95903122.7071476,79141593.27600327,75358069.4027012,76437584.3536427,69641435.64392516,66738408.29222609,73080711.86466418,66411647.13989881,73325890.46521208,69664362.57065305,75076302.15233085
TX,244628340.97294834,248796015.66298044,242589920.12632254,215206648.98991528,202810588.9314917,192231461.23014665,174731485.0193301,192004159.57671607,194042948.81636336,205733972.90366998,201011607.2532178,205254743.63495862,190587091.5406263,181009181.6559171,183035804.19572097,191620621.90602267
UT,236438201.18430156,163945611.83254388,170829132.00501034,191221773.50279593,166718846.87492746,212391007.09461364,143837697.54964107,174022457.37046623,195035973.79004255,190203778.79863885,523180464.9723853,206954900.02060714,227459364.48760757,268072767.06251043,302568199.4253338,288726959.94374627
VA,75219490.93164568,72363204.84168638,72261934.57957216,66724445.97147144,63607108.15049626,60689269.06032726,51908665.97811918,49216143.038017534,43660341.04231022,35684640.79268915,38695272.71523559,38521623.66319466,35146594.302309886,36235478.64137272,30804183.941072207,28261921.729535826
VI,1323304.515115819,1246291.9262405382,776679.8674977244,848496.6638805774,746782.9151599113,794673.4838784786,641358.0602691987,724126.0051178385,1777745.0149914627,286374.9748749163,21912.07223707165,34771.116098180406,15985.504617388438,13856.556503430487,35351.29348188255,115832.04314310347
VT,201708.8984,172482.9886,199135.3782324775,175753.26551462006,229782.02023,197095.6940177,158033.30934,164620.770911,176394.55509,145935.997543,172257.74641,185007.468,210277.0531,200904.25878,229019.65943,197888.352753
WA,21552916.7703206,30076934.91037372,33809532.056494735,27498327.57364108,24318053.892662257,26164783.014238764,15442655.433147771,19907520.399685554,16050812.399509462,16036245.924130542,16814277.34319117,18077003.48650879,37594888.792104736,30459537.266970214,26320847.822564147,24711074.07042175
WI,31145507.337121636,26247777.18588557,30212938.227421105,30761734.077117074,27134512.27383425,27447359.709498964,19552520.970274016,20651422.80986543,19448913.696189072,19690615.781263746,19315317.61735686,20201203.163960367,19555112.73036377,16870249.9446409,16805303.150806215,16445444.124832759
WV,97319189.73409835,84787133.96385185,87661106.049663,85530586.67256355,71665697.94902094,60817692.213401556,37547719.291559935,37325993.34588447,33281024.197464593,30215782.735906664,29976356.1746632,30621918.303325217,25567326.049372394,24585783.49125325,22724208.546024635,23007027.537571307
WY,18429117.499354202,15311659.216502964,14550951.280803269,14288824.321655918,14451289.936678525,18969030.301536962,23703658.367084473,20952035.15398759,17781449.688606,15232091.564275099,18059525.31113699,16025554.188250242,18394379.63107433,16749881.297183638,17839142.969123874,19332708.295464467
